"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[벤츠] S클래스(6세대) S560L 4매틱",5042,293주3398,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802426%2FA250802426_02_03.jpg%3F20250825170040&type=m&w=800&h=500&quality=90&ttype=jpg,248343,1880,"[벤츠] S클래스(6세대) S560L 4매틱",A/T,2018,"현대 경매장",WDDUG8GB8JA375932,"A / 2"
"[벤츠] C클래스(3세대) C200 블루이피션시 아방가르드",5043,43너3455,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802463%2FA250802463_02_03.jpg%3F20250822154323&type=m&w=800&h=500&quality=90&ttype=jpg,126780,400,"[벤츠] C클래스(3세대) C200 블루이피션시 아방가르드",A/T,2011,"현대 경매장",WDDGF4JB5BA517320,"A / 5"
"[미니] 쿠퍼(3세대) 5도어 1.5 하이",5044,20어0255,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802465%2FA250802465_02_03.jpg%3F20250822140702&type=m&w=800&h=500&quality=90&ttype=jpg,99369,810,"[미니] 쿠퍼(3세대) 5도어 1.5 하이",A/T,2016,"현대 경매장",WMWXU1108G2D89119,"A / 5"
"[폭스바겐] 뉴비틀 2.0 STD",5045,51두5188,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802469%2FA250802469_02_03.jpg%3F20250822165459&type=m&w=800&h=500&quality=90&ttype=jpg,184656,105,"[폭스바겐] 뉴비틀 2.0 STD",A/T,2008,"현대 경매장",WVWZZZ9CZ8M550769,"A / 2"
"[토요타] 캠리(9세대) 2.5 하이브리드 XLE",5046,30주2850,,하이브리드,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802471%2FA250802471_02_03.jpg%3F20250822125921&type=m&w=800&h=500&quality=90&ttype=jpg,175505,590,"[토요타] 캠리(9세대) 2.5 하이브리드 XLE",A/T,2012,"현대 경매장",4T1BD1FK5CU034035,"A / 4"
"[벤츠] C클래스(4세대) C43 AMG 4매틱",5047,103서9991,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802402%2FA250802402_02_03.jpg%3F20250825180542&type=m&w=800&h=500&quality=90&ttype=jpg,65463,2970,"[벤츠] C클래스(4세대) C43 AMG 4매틱",A/T,2019,"현대 경매장",WDDWF6EBXKR449096,"A / 7"
"[BMW] 5시리즈(5세대) 528i 스페셜에디션",5048,65주8940,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802457%2FA250802457_02_03.jpg%3F20250825180529&type=m&w=800&h=500&quality=90&ttype=jpg,137743,250,"[BMW] 5시리즈(5세대) 528i 스페셜에디션",A/T,2010,"현대 경매장",WBANU5109AC012201,"A / 4"
"[지프] 체로키(KL) 2.2 CRD AWD 론지튜드",5019,321모7937,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801084%2FA250801084_02_03.jpg%3F20250820155605&type=m&w=800&h=500&quality=90&ttype=jpg,101763,950,"[지프] 체로키(KL) 2.2 CRD AWD 론지튜드",A/T,2018,"현대 경매장",1C4PJMCU8JD606786,"A / 3"
"[폭스바겐] 골프(6세대) 2.0 TDI",5020,56부3066,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801236%2FA250801236_02_03.jpg%3F20250820143229&type=m&w=800&h=500&quality=90&ttype=jpg,90284,310,"[폭스바겐] 골프(6세대) 2.0 TDI",A/T,2011,"현대 경매장",WVWZZZ1KZBW010771,"A / 5"
"[포드] 쿠가 2.0 디젤 트렌드",5021,359저1941,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250801832%2FA250801832_02_03.jpg%3F20250821155145&type=m&w=800&h=500&quality=90&ttype=jpg,120257,690,"[포드] 쿠가 2.0 디젤 트렌드",A/T,2016,"현대 경매장",WF0AXXWPMGFP00761,"A / 6"
